,Date-Time,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Side,BuyV,SellV
31737,2023-11-15 19:01:58.430273368,0.29,1,0.28,118,0.29,23,Buy,1,0
31738,2023-11-15 19:03:28.970772410,0.29,7,0.28,131,0.29,22,Buy,7,0
31739,2023-11-15 19:04:00.165801515,0.29,1,0.28,145,0.29,15,Buy,1,0
31740,2023-11-15 19:07:41.130701631,0.28,1,0.28,1,0.29,104,Sell,0,1
31741,2023-11-15 19:10:16.960508285,0.28,1,0.27,118,0.28,2,Buy,1,0
31742,2023-11-15 19:10:34.624925163,0.28,1,0.27,83,0.28,1,Buy,1,0
31743,2023-11-15 19:10:42.765186506,0.28,2,0.27,82,0.28,2,Buy,2,0
31744,2023-11-15 19:11:11.495174690,0.28,1,0.28,1,0.29,151,Sell,0,1
31745,2023-11-15 19:12:00.070775215,0.28,2,0.27,74,0.28,2,Buy,2,0
31746,2023-11-15 19:14:01.199980663,0.27,1,0.27,1,0.28,2,Sell,0,1
31747,2023-11-15 19:14:51.549916365,0.26,1,0.26,1,0.27,3,Sell,0,1
31748,2023-11-16 01:00:10.984619950,0.25,3,0.25,3,0.27,4,Sell,0,3
31749,2023-11-16 01:00:15.015158863,0.24,1,0.24,4,0.26,1,Sell,0,1
31750,2023-11-16 03:27:16.975074261,0.27,1,0.26,20,0.27,1,Buy,1,0
31751,2023-11-16 03:39:09.160238649,0.26,1,0.25,2,0.26,1,Buy,1,0
31752,2023-11-16 03:46:18.200504202,0.24,3,0.24,3,0.25,26,Sell,0,3
31753,2023-11-16 03:46:32.095506626,0.23,1,0.23,1,0.24,26,Sell,0,1
31754,2023-11-16 03:47:04.229732206,0.22,5,0.22,5,0.24,16,Sell,0,5
31755,2023-11-16 08:20:17.729676124,0.25,1,0.25,1,0.26,6,Sell,0,1
31756,2023-11-16 09:21:12.730049378,0.22,1,0.22,8,0.23,37,Sell,0,1
31757,2023-11-16 09:31:34.069719625,0.22,7,0.22,8,0.23,21,Sell,0,7
31758,2023-11-16 09:31:46.825040551,0.22,1,0.22,1,0.23,25,Sell,0,1
31759,2023-11-16 10:01:42.564866132,0.22,6,0.21,72,0.22,6,Buy,6,0
31760,2023-11-16 10:09:27.259663229,0.23,1,0.22,1,0.23,1,Buy,1,0
31761,2023-11-16 10:09:38.159853222,0.24,1,0.23,1,0.24,1,Buy,1,0
31762,2023-11-16 10:54:07.639717130,0.25,1,0.24,1,0.25,1,Buy,1,0
31763,2023-11-16 13:25:52.135084664,0.25,1,0.25,1,0.27,79,Sell,0,1
31764,2023-11-16 13:34:45.115022582,0.25,1,0.24,3,0.25,1,Buy,1,0
31765,2023-11-16 14:30:23.275864313,0.23,2,0.23,2,0.24,4,Sell,0,2
31766,2023-11-16 14:30:37.445666203,0.22,2,0.22,2,0.23,1,Sell,0,2
31767,2023-11-16 14:31:35.350245586,0.25,1,0.23,1,0.25,42,Buy,1,0
31768,2023-11-16 14:37:09.230514663,0.22,1,0.22,2,0.24,60,Sell,0,1
31769,2023-11-16 14:47:07.250944531,0.22,1,0.21,42,0.22,1,Buy,1,0
31770,2023-11-16 14:52:08.440592987,0.22,1,0.22,1,0.23,2,Sell,0,1
31771,2023-11-16 14:53:35.070249233,0.21,3,0.2,10,0.21,7,Buy,3,0
31772,2023-11-16 14:53:40.725408948,0.2,11,0.2,11,0.21,4,Sell,0,11
31773,2023-11-16 14:53:53.215576896,0.2,1,0.2,3,0.21,11,Sell,0,1
31774,2023-11-16 14:53:53.220522131,0.2,2,0.2,2,0.21,10,Sell,0,2
31775,2023-11-16 14:53:53.225295013,0.2,3,0.2,3,0.21,1,Sell,0,3
31776,2023-11-16 14:54:35.015218023,0.2,3,0.2,3,0.21,58,Sell,0,3
31777,2023-11-16 14:57:20.770299399,0.2,1,0.19,41,0.2,1,Buy,1,0
31778,2023-11-16 15:04:59.145821682,0.22,1,0.22,1,0.23,33,Sell,0,1
31779,2023-11-16 15:12:53.455390518,0.23,1,0.23,1,0.24,19,Sell,0,1
31780,2023-11-16 15:15:38.095547375,0.21,1,0.21,6,0.22,55,Sell,0,1
31781,2023-11-16 15:29:35.875280715,0.22,1,0.21,8,0.22,1,Buy,1,0
31782,2023-11-16 15:30:54.675343407,0.22,1,0.22,1,0.23,11,Sell,0,1
31783,2023-11-16 15:31:32.540187956,0.22,1,0.22,3,0.23,82,Sell,0,1
31784,2023-11-16 15:31:35.045104071,0.22,1,0.22,2,0.23,81,Sell,0,1
31785,2023-11-16 15:35:18.860414091,0.22,1,0.22,3,0.23,102,Sell,0,1
31786,2023-11-16 15:35:18.865410495,0.22,2,0.22,2,0.23,109,Sell,0,2
31787,2023-11-16 15:44:07.575110153,0.23,1,0.22,1,0.23,36,Buy,1,0
